         381229104 function calls (381226101 primitive calls) in 695.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.312    0.021 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/http/client.py:277(_read_status)
      374    0.000    0.000    0.312    0.001 {method 'readline' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.308    0.051 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/file_download.py:1410(get_hf_file_metadata)
    33205    0.291    0.000    0.291    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_text_splitters/character.py:63(<listcomp>)
        6    0.000    0.000    0.287    0.048 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/file_download.py:759(_cache_commit_hash_for_specific_revision)
     3257    0.007    0.000    0.268    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/std.py:457(print_status)
        2    0.000    0.000    0.266    0.133 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/utils/_fixes.py:43(SoftTemporaryDirectory)
        4    0.000    0.000    0.264    0.066 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/shutil.py:763(move)
        4    0.264    0.066    0.264    0.066 {built-in method posix.rename}
   223547    0.102    0.000    0.260    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/re.py:269(escape)
   132741    0.258    0.000    0.258    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
        4    0.250    0.063    0.250    0.063 {built-in method posix.fchmod}
        5    0.228    0.046    0.228    0.046 {built-in method posix.symlink}
     3253    0.003    0.000    0.214    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/utils.py:386(disp_trim)
        6    0.210    0.035    0.210    0.035 {built-in method posix.unlink}
        1    0.000    0.000    0.203    0.203 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/pathlib.py:1144(write_text)
   223546    0.148    0.000    0.192    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/re.py:288(_compile)
        4    0.000    0.000    0.163    0.041 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/pathlib.py:1198(unlink)
   223547    0.140    0.000    0.140    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.137    0.137 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/tempfile.py:790(__init__)
        1    0.000    0.000    0.137    0.137 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/tempfile.py:340(mkdtemp)
       46    0.000    0.000    0.135    0.003 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/contextlib.py:139(__exit__)
        2    0.000    0.000    0.127    0.063 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/shutil.py:681(rmtree)
        4    0.000    0.000    0.121    0.030 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/file_download.py:349(http_get)
